round,n,m,W,P,Lmax,seen,quick,exact,deg2,survivors
1,6,8,3;4,3;5,4,24,7,9,3,5
2,8,17,6;7,1;4;5;6;7,7,980,26,954,0,0
3,10,17,3;4;8;9,1;3;5;6;8,9,395166,663,394493,9,1
4,7,6,3;6;7,2;3;4;5,7,41,0,14,0,27
5,8,10,7;8,1;2;3;4,8,663,0,663,0,0
6,8,17,4;7,2;7,7,980,26,954,0,0
7,7,9,5;7,1;2;3;5;6,7,131,0,131,0,0
8,10,13,6;7;9;10,2;3;4;5;8;9,10,34663,0,34663,0,0
9,10,14,4;6;8;10,1;3;4;9,10,71318,0,70626,132,560
10,8,11,4;7;8,1;2;5;7,8,980,0,978,0,2
11,7,7,4;7,2;4,7,65,0,52,0,13
12,9,20,6,3;6,6,27987,15228,12759,0,0
13,10,14,3;10,1;2;3;5;6;7,10,71318,0,71318,0,0
14,10,12,4;5;6;7;10,1;3;4;5;8,10,15772,0,14504,24,1244
15,6,6,3,1,3,21,9,3,0,9
16,9,9,5;6;9,2;3;5;8,9,771,0,720,0,51
17,10,13,3;4;6;8;9,1;2;3;4;6,9,34663,20,31999,488,2156
18,10,9,3;5;6;7;8;10,2;5;6,10,1103,0,575,0,528
19,10,17,4;5;7;8;10,5;6;7;9,10,395166,0,395166,0,0
20,9,8,6;7;9,3;5;7,9,345,0,289,0,56
21,8,7,3;5,2;4;7,5,115,2,45,0,68
22,8,10,6;7;8,2;3;4;6,8,663,0,663,0,0
23,9,20,3;4;6;8;9,2;7,9,27987,0,27986,1,0
24,6,8,3;4,2;3;4;5,4,24,7,9,3,5
25,10,10,3;4;5;6,1;2;6;8;9,6,2769,72,157,102,2438
26,8,17,4;5;6,2;3;6;7,6,980,240,740,0,0
27,9,13,3;6;9,1;3;4;7,9,10120,0,10120,0,0
28,10,22,4;6;9,1;4;6;7,9,1358852,8793,1350059,0,0
29,10,14,3;4;5;6;9,1;3;4;5;6;8;9,9,71318,46,56625,5808,8839
30,7,12,5;7,2;4;5,7,131,0,131,0,0
31,7,9,3;5;6,1;3,6,131,3,125,0,3
32,6,11,5,2;4,5,9,3,6,0,0
33,9,9,3;4;5;6;7,2;6,7,771,2,3,28,738
34,9,19,5;7;8;9,2;4;5,9,32403,0,32403,0,0
35,10,14,3;7;8;9;10,2;3;5;6;8,10,71318,0,71318,0,0
36,10,16,8;10,2;3;4;6;7;8;9,10,241577,0,241577,0,0
37,6,13,3,1,3,2,2,0,0,0
38,9,10,5,3;4;5;6;7;8,5,1637,249,1387,0,1
39,6,11,5,4,5,9,3,6,0,0
40,6,5,4;5,2;3,5,15,0,6,0,9
41,6,8,3;5,1;3;4;5,5,24,4,20,0,0
42,8,11,3,1;2;5;7,3,980,924,56,0,0
43,8,14,4,4,4,1646,1423,223,0,0
44,7,15,6;7,1;2;4,7,41,0,41,0,0
45,8,9,5;7,2;5;6;7,7,402,0,402,0,0
46,10,19,5;8;9,3;4;7;8,9,828728,2802,825926,0,0
47,6,11,4;5,1,5,9,3,6,0,0
48,7,15,4;5;7,2;3;4;5,7,41,0,41,0,0
49,6,7,3;4;5,1;4,5,24,0,2,2,20
50,8,14,5;7;8,2;5;7,8,1646,0,1646,0,0
51,10,10,5;6;9,3;7;9,9,2769,1,2609,0,159
52,9,13,3;4;6;7;9,1;3;4;5;6;8,9,10120,0,9896,112,112
53,7,15,3;4;7,2;3,7,41,0,41,0,0
54,8,15,4;7,1;3,7,1557,25,1532,0,0
55,7,8,7,4;5;6,7,97,0,97,0,0
56,8,15,4;5;6;7;8,1;4;7,8,1557,0,1555,2,0
57,7,16,4;5;7,1;2;3;4;5,7,21,0,21,0,0
58,7,8,3;6;7,3;4;5;6,7,97,0,86,0,11
